candidate,party,gender,rase,year_of_birth,age_2016
Ben Carson,Republican,male,black,1951,65
Bernie Sanders,Democrat,male,white,1941,75
Carly Fiorina,Republican,female,white,1954,62
Chris Christie,Republican,male,white,1962,54
Donald Trump,Republican,male,white,1946,70
Hillary Clinton,Democrat,female,white,1947,69
Jeb Bush,Republican,male,white,1953,63
John Kasich,Republican,male,white,1952,64
Marco Rubio,Republican,male,white,1971,45
Martin O'Malley,Democrat,male,white,1963,53
Mike Huckabee,Republican,male,white,1955,61
Rand Paul,Republican,male,white,1963,53
Rick Santorum,Republican,male,white,1958,58
Ted Cruz,Republican,male,white,1970,46
